Date,ATA,ATA4,FC,MEPN,EC,Station,Campus,RS,CURR_ALLOC,QOH,QIT,OQAS,IQAS,QUB,QRI,Campus_Rec_Alloc,Campus_Alloc,Campus_QOH,Campus_QIT,Campus_OQAS,Campus_IQAS,Campus_QUB,Campus_QRI,Bin_Balance,Empty_Bin,RS_Campus,RS_Rec_Alloc,RS_Alloc,RS_QOH,RS_QIT,RS_OQAS,RS_IQAS,RS_QUB,RS_QRI,SO_MEPN,SO_Date,ORDER_STATUS_IND,SO_Qty,Fill_Station,FS_Campus,FS_Rec_Alloc,FS_Alloc,FS_QOH,FS_QIT,FS_IQAS,FS_OQAS,FS_QUB,FS_QRI,Campus_SO_Qty,Action,Aged_SO,Mgr_Name,Planner_Name
3/12/2019,24,2422,17,17-2422-9-0001,1,MOR,IAH,ORJ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Under,Yes,ORD,1,1,0,0,0,0,0,0,17-2422-9-0001,3/9/2019,O,1,ORJ,ORD,1,1,0,0,0,0,0,0,1,NULL,No,Matthew Papes,Cindy Ortega
3/12/2019,24,2422,17,17-2422-9-0001,1,ORD,ORD,ORJ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Under,Yes,ORD,1,1,0,0,0,0,0,0,17-2422-9-0001,2/12/2019,O,1,ORJ,ORD,1,1,0,0,0,0,0,0,1,NULL,No,Matthew Papes,Cindy Ortega
3/12/2019,34,3423,17,17-3423-9-9001,1,ORD,ORD,ORJ,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Under,Yes,ORD,1,1,0,0,0,0,0,0,17-3423-9-9001,2/18/2019,O,1,ORJ,ORD,2,1,0,0,0,0,0,0,1,NULL,No,Mark Decker,Ryan Thompson
3/12/2019,34,3423,17,17-3423-9-9001,1,SMB,SFO,ORJ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Under,Yes,ORD,1,1,0,0,0,0,0,0,17-3423-9-9001,2/3/2019,O,1,ORJ,ORD,2,1,0,0,0,0,0,0,1,NULL,Yes,Mark Decker,Ryan Thompson
3/12/2019,34,3441,17,17-3441-9-0001,2,SMB,SFO,ORJ,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Under,Yes,ORD,11,1,1,0,0,0,0,0,17-3441-9-0001,3/3/2019,O,1,ORJ,ORD,12,1,1,0,0,0,0,0,1,NULL,No,Mark Decker,Ryan Thompson
3/12/2019,34,3443,17,17-3443-9-0003,0,SMB,SFO,JJR,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Under,Yes,SFO,1,1,0,0,0,0,0,0,17-3443-9-0003,10/27/2018,O,1,JJR,SFO,2,1,0,0,0,0,0,0,1,NULL,Yes,Mark Decker,Ryan Thompson
3/12/2019,38,3831,17,17-3831-9-9001,1,DEN,DEN,ORJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Under,Yes,ORD,3,1,0,0,0,0,0,0,17-3831-9-9001,1/8/2019,O,1,ORJ,ORD,4,1,0,0,0,0,0,0,1,NULL,Yes,Matthew Papes,Cindy Ortega
3/12/2019,38,3831,17,17-3831-9-9001,1,EWR,EWR,ORJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Under,Yes,ORD,3,1,0,0,0,0,0,0,17-3831-9-9001,2/24/2019,O,1,ORJ,ORD,4,1,0,0,0,0,0,0,1,NULL,No,Matthew Papes,Cindy Ortega
3/12/2019,38,3831,17,17-3831-9-9001,1,ORD,ORD,ORJ,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,Under,Yes,ORD,3,1,0,0,0,0,0,0,17-3831-9-9001,3/3/2019,O,1,ORJ,ORD,4,1,0,0,0,0,0,0,1,NULL,No,Matthew Papes,Cindy Ortega
3/12/2019,38,3831,17,17-3831-9-9001,1,SMB,SFO,ORJ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Under,Yes,ORD,3,1,0,0,0,0,0,0,17-3831-9-9001,1/13/2019,O,1,ORJ,ORD,4,1,0,0,0,0,0,0,1,NULL,Yes,Matthew Papes,Cindy Ortega
3/12/2019,41,4131,17,17-4131-9-0001,1,DEN,DEN,ORJ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Under,Yes,ORD,1,1,0,0,0,0,0,0,17-4131-9-0001,1/7/2019,O,1,ORJ,ORD,2,1,0,0,0,0,0,0,1,NULL,Yes,Robert Aten,Mahendra Shah
3/12/2019,41,4131,17,17-4131-9-0001,1,ORD,ORD,ORJ,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Under,Yes,ORD,1,1,0,0,0,0,0,0,17-4131-9-0001,12/8/2018,O,1,ORJ,ORD,2,1,0,0,0,0,0,0,1,NULL,Yes,Robert Aten,Mahendra Shah
3/12/2019,52,5231,17,17-5231-9-9001,0,MOR,IAH,JJR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Under,Yes,SFO,0,0,0,0,0,0,0,0,17-5231-9-9001,5/27/2018,O,1,JJR,SFO,NULL,NULL,0,0,0,0,0,0,1,NULL,Yes,Mark Decker,Dee Johnson
3/12/2019,52,5231,17,17-5231-9-9001,0,ORT,ORD,JJR,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Under,Yes,SFO,0,0,0,0,0,0,0,0,17-5231-9-9001,12/7/2018,O,1,JJR,SFO,NULL,NULL,0,0,0,0,0,0,1,NULL,Yes,Mark Decker,Dee Johnson
3/12/2019,21,2151,18,18-2151-9-9001,2,DEN,DEN,ORJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Under,Yes,ORD,0,1,0,0,0,0,0,0,18-2151-9-9001,11/4/2018,P,1,IAD,IAD,0,0,0,0,0,0,0,0,1,Change FS,Yes,Mark Decker,Ivy Miller
3/12/2019,21,2151,18,18-2151-9-9001,2,EWR,EWR,ORJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Under,Yes,ORD,0,1,0,0,0,0,0,0,18-2151-9-9001,1/15/2019,P,1,IAD,IAD,0,0,0,0,0,0,0,0,1,Change FS,Yes,Mark Decker,Ivy Miller
3/12/2019,21,2151,18,18-2151-9-9001,2,MOR,IAH,ORJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Under,Yes,ORD,0,1,0,0,0,0,0,0,18-2151-9-9001,3/5/2019,O,1,ORJ,ORD,0,1,0,0,0,0,0,0,1,NULL,No,Mark Decker,Ivy Miller
3/12/2019,21,2151,18,18-2151-9-9001,2,ORT,ORD,ORT,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Under,Yes,ORD,0,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,Create SO,N/A,Mark Decker,Ivy Miller
